17,002588,史丹利,详情 数据 股吧,4.26,-0.47%,-944.13万,-9.47%,-716.61万,-7.19%,-227.52万,-2.28%,143.90万,1.44%,800.23万,8.03%,化肥行业
18,600078,澄星股份,详情 数据 股吧,4.91,2.94%,-1209.75万,-5.03%,-305.15万,-1.27%,-904.61万,-3.76%,1103.19万,4.59%,106.56万,0.44%,化肥行业
19,002470,金正大,详情 数据 股吧,2.60,0.00%,-1228.77万,-8.20%,144.70万,0.97%,-1373.47万,-9.17%,317.75万,2.12%,911.02万,6.08%,化肥行业
20,000902,新洋丰,详情 数据 股吧,7.44,-0.27%,-1781.88万,-11.47%,-311.57万,-2.01%,-1470.31万,-9.47%,561.33万,3.61%,1220.56万,7.86%,化肥行业
21,600096,云天化,详情 数据 股吧,5.99,7.54%,-3369.03万,-6.60%,-28.42万,-0.06%,-3340.61万,-6.54%,834.27万,1.63%,2534.76万,4.96%,化肥行业
22,002274,华昌化工,详情 数据 股吧,6.68,-0.60%,-3384.42万,-6.79%,-1635.66万,-3.28%,-1748.76万,-3.51%,564.83万,1.13%,2819.59万,5.66%,化肥行业
1,600048,保利地产,详情 数据 股吧,15.90,3.31%,1.30亿,8.63%,2.17亿,14.48%,-8781.35万,-5.85%,-5287.34万,-3.52%,-7671.09万,-5.11%,房地产
2,600383,金地集团,详情 数据 股吧,13.98,8.29%,1.27亿,15.94%,6870.91万,8.64%,5805.46万,7.30%,-4657.96万,-5.86%,-8018.41万,-10.09%,房地产
3,000671,阳 光 城,详情 数据 股吧,7.68,7.87%,8484.12万,15.11%,4835.09万,8.61%,3649.03万,6.50%,-2617.53万,-4.66%,-5866.59万,-10.45%,房地产
4,000002,万 科Ａ,详情 数据 股吧,30.80,2.84%,8215.99万,2.25%,-2458.05万,-0.67%,1.07亿,2.93%,4086.91万,1.12%,-1.23亿,-3.37%,房地产
5,600094,大名城,详情 数据 股吧,6.69,1.98%,7966.96万,14.33%,2594.42万,4.67%,5372.54万,9.66%,-6902.91万,-12.41%,-1064.05万,-1.91%,房地产
6,600622,光大嘉宝,详情 数据 股吧,3.98,9.94%,5494.52万,12.22%,5636.71万,12.54%,-142.19万,-0.32%,-2633.31万,-5.86%,-2861.20万,-6.36%,房地产
7,001979,招商蛇口,详情 数据 股吧,18.05,2.56%,4307.25万,14.20%,2481.58万,8.18%,1825.67万,6.02%,-4711.99万,-15.53%,404.75万,1.33%,房地产
8,000540,中天金融,详情 数据 股吧,3.38,10.10%,4021.79万,6.69%,3873.89万,6.45%,147.90万,0.25%,-1334.99万,-2.22%,-2686.80万,-4.47%,房地产
9,000069,华侨城Ａ,详情 数据 股吧,6.68,2.30%,3872.93万,13.28%,2740.68万,9.39%,1132.25万,3.88%,-2149.76万,-7.37%,-1723.16万,-5.91%,房地产
10,000031,大悦城,详情 数据 股吧,6.17,6.75%,3738.77万,14.15%,2097.94万,7.94%,1640.83万,6.21%,-224.79万,-0.85%,-3513.98万,-13.30%,房地产
11,000732,泰禾集团,详情 数据 股吧,5.40,5.26%,3409.82万,9.81%,1166.55万,3.36%,2243.27万,6.45%,-1763.88万,-5.07%,-1645.94万,-4.73%,房地产
12,601512,中新集团,详情 数据 股吧,11.97,4.63%,2803.95万,15.76%,483.05万,2.72%,2320.90万,13.05%,-599.68万,-3.37%,-2204.27万,-12.39%,房地产
13,002146,荣盛发展,详情 数据 股吧,8.67,3.46%,2320.28万,5.88%,1430.84万,3.63%,889.44万,2.26%,-1067.12万,-2.71%,-1253.15万,-3.18%,房地产
14,000656,金科股份,详情 数据 股吧,7.55,5.15%,2202.28万,5.25%,2690.15万,6.41%,-487.87万,-1.16%,25.13万,0.06%,-2227.40万,-5.31%,房地产
15,000609,中迪投资,详情 数据 股吧,5.08,9.96%,1999.00万,26.28%,950.61万,12.50%,1048.39万,13.78%,-775.30万,-10.19%,-1223.71万,-16.09%,房地产
16,600325,华发股份,详情 数据 股吧,7.03,2.48%,1767.40万,8.35%,729.35万,3.44%,1038.06万,4.90%,-218.72万,-1.03%,-1548.69万,-7.31%,房地产
17,600606,绿地控股,详情 数据 股吧,6.08,2.36%,1677.69万,5.42%,801.05万,2.59%,876.64万,2.83%,-1437.55万,-4.64%,-240.14万,-0.78%,房地产
18,600649,城投控股,详情 数据 股吧,5.13,3.85%,1372.27万,14.42%,158.39万,1.66%,1213.89万,12.76%,-580.49万,-6.10%,-791.78万,-8.32%,房地产
19,000517,荣安地产,详情 数据 股吧,2.80,5.26%,1348.70万,11.29%,919.14万,7.70%,429.56万,3.60%,-373.92万,-3.13%,-974.78万,-8.16%,房地产
20,600095,哈高科,详情 数据 股吧,8.83,1.96%,1264.69万,5.53%,370.28万,1.62%,894.41万,3.91%,-162.37万,-0.71%,-1102.32万,-4.82%,房地产
21,000897,*ST津滨,详情 数据 股吧,2.31,3.59%,1228.45万,17.84%,701.18万,10.18%,527.27万,7.66%,-482.18万,-7.00%,-746.27万,-10.84%,房地产
22,600052,浙江广厦,详情 数据 股吧,4.60,2.68%,1182.48万,8.90%,594.11万,4.47%,588.37万,4.43%,-306.08万,-2.30%,-876.41万,-6.60%,房地产
23,600823,世茂股份,详情 数据 股吧,4.18,2.96%,1164.27万,17.80%,227.40万,3.48%,936.87万,14.33%,-552.46万,-8.45%,-611.81万,-9.35%,房地产
24,000961,中南建设,详情 数据 股吧,9.76,4.39%,1108.39万,1.73%,316.36万,0.49%,792.04万,1.24%,1439.70万,2.25%,-2548.10万,-3.97%,房地产
25,002968,新大正,详情 数据 股吧,69.83,6.38%,1059.02万,8.64%,41.32万,0.34%,1017.70万,8.30%,-275.83万,-2.25%,-783.19万,-6.39%,房地产
26,002285,世联行,详情 数据 股吧,3.04,4.11%,1057.44万,11.89%,808.58万,9.09%,248.85万,2.80%,-343.50万,-3.86%,-713.93万,-8.02%,房地产
27,600466,蓝光发展,详情 数据 股吧,7.05,3.07%,946.38万,4.92%,-295.07万,-1.53%,1241.46万,6.45%,152.03万,0.79%,-1098.42万,-5.71%,房地产
28,601155,新城控股,详情 数据 股吧,35.20,2.47%,932.04万,2.11%,305.27万,0.69%,626.77万,1.42%,-942.57万,-2.13%,10.53万,0.02%,房地产
